id,resort,country,continent,price,beginner_slopes,intermediate_slopes,difficult_slopes,total_slopes,snowparks
1,Hemsedal,Norway,Europe,46,29,10,4,43,Yes
2,Geilosiden Geilo,Norway,Europe,44,18,12,4,34,Yes
3,Golm,Austria,Europe,48,13,12,1,26,No
4,Red Mountain Resort,Canada,North America,60,20,50,50,120,Yes
5,Hafjell,Norway,Europe,45,33,7,4,44,Yes
6,Voss,Norway,Europe,43,25,4,11,40,Yes
7,Porter,New Zealand,Oceania,61,5,0,5,10,No
8,Nevados de Chillan,Chile,South America,57,10,15,10,35,Yes
9,Hochschwarzeck,Germany,Europe,22,4,0,0,4,No
10,Rossfeld Berchtesgaden Oberau,Germany,Europe,20,7,1,0,8,Yes
11,Fernie,Canada,North America,67,42,58,42,142,Yes
12,Sun Peaks,Canada,North America,62,13,78,43,134,Yes
13,Panorama,Canada,North America,62,20,55,25,100,Yes
14,Brauneck Lenggries Wegscheid,Germany,Europe,35,8,22,4,34,No
15,Zermatt - Matterhorn,Switzerland,Europe,81,75,220,27,322,Yes
16,Treble Cone,New Zealand,Oceania,68,4,9,9,22,Yes
17,Val Gardena,Italy,Europe,54,52,105,18,175,Yes
18,Gressoney La-Trinite Monterosa Ski,Italy,Europe,43,23,94,15,132,Yes
19,Les Gets Les Portes du Soleil,France,Europe,51,310,210,60,580,Yes
20,Espace San Bernardo,France,Europe,43,55,83,22,160,Yes
21,The Lecht,United Kingdom,Europe,33,5,9,4,18,Yes
22,Steamboat,United States,North America,120,25,95,45,165,Yes
23,Howelsen Hill,United States,North America,21,1,1,0,2,No
24,Les Contamines Hauteluce,France,Europe,39,40,60,20,120,No
25,Crested Butte,United States,North America,98,27,69,25,121,Yes
26,Jackson Hole,United States,North America,119,16,50,50,116,Yes
27,Park City,United States,North America,97,27,152,71,250,Yes
28,Nevis Range,United Kingdom,Europe,36,7,10,3,20,No
29,Arapahoe Basin,United States,North America,83,40,25,40,105,Yes
30,The Remarkables,New Zealand,Oceania,74,3,4,3,10,Yes
31,Valchiavenna Madesimo,Italy,Europe,39,13,28,5,46,Yes
32,La Thuile La Rosière,Italy,Europe,43,55,83,22,160,Yes
33,Livigno Carosello Mottolino,Italy,Europe,46,30,65,20,115,Yes
34,Madonna di Campiglio,Italy,Europe,50,60,68,22,150,Yes
